sys_bd_linea_pdn.descripcion,Provincia,org_ficha_organizacion.nombre,producto,cantidad_final,Departamento,valor_inicial,valor_final,cantidad_inicial,F.Registral,Distrito,timestamp,length
TURISMO,CAYLLOMA,ASOCIACION DE TURISMO SUMAC AMPATO HUANCA,BROCEHATAS DE ALPACA,40,AREQUIPA,0,400,0,01143657,HUANCA,,
TURISMO,CAYLLOMA,ASOCIACION DE TURISMO SUMAC AMPATO HUANCA,CUY CHACTAO,50,AREQUIPA,0,1500,0,01143657,HUANCA,,
TRUCHAS,CARAVELI,COMUNIDAD  CAMPESINA DE SONDOR,TRUCHA,6000,AREQUIPA,22000,15000,3100,01190439,CAHUACHO,,
TURISMO,CONDESUYOS,COMUNIDAD CAMPESINA DE ISPACAS,PAQUETES TURISTICOS,40,AREQUIPA,0,27280,0,01195584,YANAQUIHUA,,
TRUCHAS,CONDESUYOS,COMUNIDAD CAMPESINA UCHUMIRI,TRUCHA,7000,AREQUIPA,28000,84000,3500,01195654,YANAQUIHUA,,
TUBERCULOS ANDINOS,GRAU,COMUNIDAD CAMPESINA VIRUNDO,PAPA PUCAHUAYRO,500,APURIMAC,0,10000,0,02031520,VIRUNDO,,
TUBERCULOS ANDINOS,GRAU,COMUNIDAD CAMPESINA VIRUNDO,PAPA CAMOTILLO,580,APURIMAC,0,11600,0,02031520,VIRUNDO,,
TUBERCULOS ANDINOS,GRAU,COMUNIDAD CAMPESINA VIRUNDO,PAPA PILLPINTO,750,APURIMAC,0,11250,0,02031520,VIRUNDO,,
OVEJAS,PAUCARTAMBO,COMUNIDAD CAMPESINA INQUILPATA,OVINOS,370,CUSCO,1800,55500,30,02078744,CHALLABAMBA,,
TRUCHAS,AYMARAES,ASOCIACION DE PRODUCTORES PISCICOLAS NUEVA ESPERANZA DE UMALO,TRUCHA FRESCA,1200,APURIMAC,5000,14400,500,05004240,TAPAIRIHUA,,
TRUCHAS,AYMARAES,ASOCIACION DE PRODUCTORES PISCICOLAS NUEVA ESPERANZA DE UMALO,TRUCHADA,300,APURIMAC,0,2100,0,05004240,TAPAIRIHUA,,
TRUCHAS,AYMARAES,ASOCIACION DE PRODUCTORES PISCICOLAS NUEVA ESPERANZA DE UMALO,CEVICHE,100,APURIMAC,0,350,0,05004240,TAPAIRIHUA,,
