Tasas de homicidio de la ONUDD el año más reciente.​​​ >> País,Tasas de homicidio de la ONUDD el año más reciente.​​​ >> Tasa,Tasas de homicidio de la ONUDD el año más reciente.​​​ >> Conteo,Tasas de homicidio de la ONUDD el año más reciente.​​​ >> Región,Tasas de homicidio de la ONUDD el año más reciente.​​​ >> Subregión,Tasas de homicidio de la ONUDD el año más reciente.​​​ >> Año del dato
Burundi,"6,0",635,África,África Oriental,2016
Comoras,"7,7",60,África,África Oriental,2015
Eritrea,"8,0",390,África,África Oriental,2015
Etiopía,"7,6",7552,África,África Oriental,2015
Kenia,"5,0",2466,África,África Oriental,2017
Madagascar,"7,7",1863,África,África Oriental,2015
Malaui,"1,7",279,África,África Oriental,2012
Mauricio,"1,8",23,África,África Oriental,2016
Mozambique,"3,4",849,África,África Oriental,2011
Ruanda,"2,5",293,África,África Oriental,2015
Seychelles,"12,7",12,África,África Oriental,2016
Somalia,"4,3",599,África,África Oriental,2015
Uganda,"11,0",4735,África,África Oriental,2017
Tanzania,"6,2",3439,África,África Oriental,2016
Yibuti,"6,5",60,África,África Oriental,2015
Zambia,"5,3",853,África,África Oriental,2015
Zimbabue,"6,7",981,África,África Oriental,2012
Angola,"4,9",1217,África,África Central,2012
Camerún,"1,4",341,África,África Central,2017
República Centroafricana,"19,8",913,África,África Central,2016
Chad,"9,0",1266,África,África Central,2015
Guinea Ecuatorial,"2,3",27,África,África Central,2015
República del Congo,"9,3",466,África,África Central,2015
Gabón,"8,0",155,África,África Central,2015
República Democrática del Congo,"13,6",10322,África,África Central,2015
Santo Tomé y Príncipe,"3,4",6,África,África Central,2011
Argelia,"1,4",542,África,África del Norte,2015
Egipto,"2,5",2207,África,África del Norte,2012
Libia,"2,5",156,África,África del Norte,2015
Marruecos,"2,1",761,África,África del Norte,2017
Sudán,"5,2",1702,África,África del Norte,2008
Túnez,"3,1",332,África,África del Norte,2012
Botsuana,"15,0",303,África,África del Sur,2010
Lesoto,"41,2",897,África,África del Sur,2015
Namibia,"17,1",388,África,África del Sur,2012
Sudáfrica,"35,9",20336,África,África del Sur,2017
Suazilandia,"9,5",130,África,África del Sur,2017
Benín,"1,1",126,África,África Occidental,2017
Burkina Faso,"1,3",240,África,África Occidental,2017
Cabo Verde,"11,5",62,África,África Occidental,2016
Costa de Marfil,"11,6",2688,África,África Occidental,2015
Gambia,"9,1",181,África,África Occidental,2015
Ghana,"2,1",609,África,África Occidental,2017
Guinea,"8,8",1067,África,África Occidental,2015
Guinea-Bisáu,"1,1",21,África,África Occidental,2017
Liberia,"3,2",135,África,África Occidental,2012
Malí,"10,9",1905,África,África Occidental,2015
Mauritania,"9,9",416,África,África Occidental,2015
Níger,"4,4",788,África,África Occidental,2012
Nigeria,"9,9",17843,África,África Occidental,2015
Senegal,"7,4",1105,África,África Occidental,2015
Sierra Leona,"1,7",124,África,África Occidental,2015
Togo,"9,0",668,África,África Occidental,2015
Anguila,"27,7",4,América,Caribe,2014
Antigua y Barbuda,"10,3",10,América,Caribe,2012
Bahamas,"30,9",122,América,Caribe,2017
Barbados,"10,5",30,América,Caribe,2017
Cuba,"5,0",572,América,Caribe,2016
Dominica,"25,7",19,América,Caribe,2017
Granada,"11,1",12,América,Caribe,2017
Guadalupe,"5,1",23,América,Caribe,2016
Haití,"13,0",1478,América,Caribe,2020
Islas Caimán,"8,4",5,América,Caribe,2014
Islas Turcas y Caicos,"5,9",2,América,Caribe,2014
Islas Vírgenes Británicas,"8,4",2,América,Caribe,2006
Islas Vírgenes Estadounidenses,"49,3",52,América,Caribe,2012
Jamaica,"46,5",1301,América,Caribe,2020
Martinica,"2,8",11,América,Caribe,2009
Montserrat,"19,9",1,América,Caribe,2012
Puerto Rico,"16,5",529,América,Caribe,2020
República Dominicana,"9,0",705,América,Caribe,2020
San Cristóbal y Nieves,"34,2",18,América,Caribe,2012
Santa Lucía,"29,6",53,América,Caribe,2017
San Vicente y las Granadinas,"36,5",40,América,Caribe,2016
Trinidad y Tobago,"28,2",395,América,Caribe,2020
Belice,"24,3",102,América,Centroamérica,2020
Costa Rica,"11,2",569,América,Centroamérica,2020
El Salvador,"19,7",1332,América,Centroamérica,2020
Guatemala,"15,3",2574,América,Centroamérica,2020
Honduras,"37,6",3496,América,Centroamérica,2020
Nicaragua,"3,5",228,América,Centroamérica,2020
México,21.6,28160,América,Norteamérica,2021
Panamá,"11,6",497,América,Centroamérica,2020
Bermudas,"8,2",5,América,Norteamérica,2017
Canadá,1.8,660,América,Norteamérica,2017
Estados Unidos,"7,8",22099,América,Norteamérica,2020
Groenlandia,"5,3",3,América,Norteamérica,2016
Argentina,"5,3 ​ ​ ​ ​",2362,América,Sudamérica,2020
Bolivia,"36,3",30567,América,Sudamérica,2016
Brasil,"23,6",50033,América,Sudamérica,2020
Chile,"3,7",718,América,Sudamérica,2017
Colombia,"16,9",12218,América,Sudamérica,2020
Ecuador,"7,7",1357,América,Sudamérica,2020
Guayana Francesa,"13,2",30,América,Sudamérica,2009
Guyana,"14,8",115,América,Sudamérica,2017
